idh,idp,top,cec,ca,mg,k,na,bsum_sisinta,bsum_calculada,bsat,bsum_diff
20,316,18,18.4,11.7,2.5,NA,0.1,15.1,14.299999999999999,82,0.8000000000000007
33,319,0,18.1,11.5,1.9,1.4,0.1,14.9,14.9,82,0
34,319,19,18.5,11.2,2.7,1.1,0.1,15.1,15.1,82,0
40,320,0,18.6,11.2,2.1,1.8,0.1,15.2,15.2,82,0
41,320,17,20.3,13,2.5,1.1,0.1,16.7,16.7,82,0
48,321,0,15.5,5.6,2,2.5,0.1,10.2,10.2,66,0
49,321,12,18.6,9.1,2.3,2.1,0.1,13.6,13.6,73,0
56,322,0,20.5,13.4,0.8,1.8,0.2,16.2,16.2,79,0
57,322,20,20.3,13.8,0.8,1.6,0.1,16.3,16.3,80,0
65,323,0,17,6.7,2.6,1.4,4.3,15,15,89,0
66,323,15,22.2,7.5,4.2,1.9,6.2,19.8,19.8,89,0
71,324,0,19.9,9.1,4.7,2.3,0.6,16.7,16.7,84,0
72,324,20,37.5,NA,NA,4.3,14.4,NA,18.7,NA,NA
81,326,0,NA,NA,NA,NA,NA,NA,0,NA,NA
82,326,18,19.9,11.2,2.3,1.2,0.1,14.8,14.799999999999999,74,1.7763568394002505e-15
93,329,0,16,9.6,1.6,1.9,0.4,13.5,13.5,84,0
94,329,23,19.6,10.9,2.7,1.8,0.4,15.8,15.8,80,0
99,334,0,19.3,10.2,3,1.4,0.4,15,15,77,0
100,334,15,21,10.7,4.1,1.3,0.5,16.6,16.599999999999998,79,3.552713678800501e-15
106,335,0,19,11.3,2.5,2,0.4,16.2,16.2,85,0
112,336,0,20.4,12,2.3,1.8,0.1,16.2,16.2,79,0
113,336,16,22,13.6,2.7,1.4,0.1,17.8,17.8,81,0
114,336,24,19,12.6,1.9,1.2,0.1,15.8,15.799999999999999,83,1.7763568394002505e-15
120,337,0,16.3,7.2,1.8,1.5,1.8,12.3,12.3,76,0
121,337,15,23.7,7.7,5.6,2.6,7.4,23.3,23.3,100,0
125,338,0,21.3,11.4,5.2,1.5,0.2,18.3,18.3,86,0
131,339,0,19.1,10.4,2.7,1.7,0.1,14.9,14.9,78,0
132,339,17,19.5,11.3,2.9,1.5,0.1,15.8,15.8,81,0
133,339,22,19.4,10.9,3.1,1.4,0.1,15.5,15.5,80,0
139,340,0,17.8,9.5,3.1,1.7,0.8,15.1,15.1,84,0
145,341,0,18.7,10.7,1.8,1.2,0.2,13.9,13.899999999999999,74,1.7763568394002505e-15
146,341,24,19.7,12.1,1.6,0.9,0.2,14.8,14.799999999999999,75,1.7763568394002505e-15
152,342,0,23.9,11.6,3.7,2.3,0.1,17.7,17.7,74,0
153,342,20,23.4,13,2.6,1.9,0.1,17.6,17.6,75,0
160,347,0,22.3,11,1.9,2.9,0.1,15.9,15.9,71,0
161,347,14,21.9,10.6,2.2,2.2,0.1,15.1,15.1,69,0
162,347,24,19.8,9.8,2.2,1.9,0.1,14,14,71,0
168,348,0,24,13,2,2.3,0.1,17.4,17.4,73,0
169,348,13,22.5,12.1,2,1.7,0.1,15.9,15.9,71,0
175,349,0,NA,NA,NA,NA,NA,NA,0,NA,NA
176,349,13,19.1,11.4,2,1.8,0.1,15.3,15.3,80,0
177,349,22,22,13.8,2.6,1.2,0.3,17.9,17.900000000000002,81,-3.552713678800501e-15
182,350,0,NA,NA,NA,NA,NA,NA,0,NA,NA
183,350,13,21.5,12.4,1.9,2.4,0.1,16.8,16.8,78,0
184,350,15,19,10.5,2.9,1.9,0.1,15.4,15.4,81,0
191,351,0,19.2,9.3,2.3,1.7,0.7,14,14,73,0
192,351,20,20.1,9.9,5.3,1.8,0.8,17.8,17.8,88,0
